RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
35130,Auburn,Georgia,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57300,58200,61800,60400,58300,6.20E+04,71100,78100,82300,83900,87400,9.00E+04,83300,80700,75400,79300,81600,87400,89100,84200,8.30E+04,84100,94700,95400,96800,97400,100500,102500,103500,104100,106800,1.08E+05,118400,125800,1.28E+05,115400,110500,111100,117200,121100,123800,124400,120400,121200,124600,125200,124400,124600,127200,131400,1.32E+05,132800,133500,135800,132300,131600,131800,139800,1.40E+05,144800,1.38E+05,137300,135500,139900,145500,144200,138200,135700,137800,154700,166900,167500,154800,1.41E+05,139600,151300,
11844,Haysville,Kansas,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117600,117600,117800,112200,9.90E+04,97900,96700,1.04E+05,91900,104200,106600,120200,108700,109900,108400,120300,121500,140400,117300,121400,106900,121100,116700,117200,116500,117200,115500,118300,116800,106100,102600,103600,111900,113800,108100,1.12E+05,110800,1.19E+05,123700,127300,117600,118400,125100,122300,123700,118900,123400,125200,123800,144100,131200,166100,152200,160900,1.37E+05,
36257,Sandwich,Illinois,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127700,1.22E+05,143500,151200,147900,138200,141700,125100,134900,126300,153900,128900,139400,131300,151300,134300,147100,152100,171200,164800,148100,149200,141700,150200,148600,1.48E+05,143600,1.41E+05,143200,154700,151800,149500,146800,148200,145400,162300,165800,174200,165200,167600,193500,173500,1.70E+05,1.40E+05,150300,154900,156100,1.59E+05,178900,173700,174900,170600,193700,202900,185200,166200,147700,134500,131700,134600,162900,176800,
397175,Middletown,Pennsylvania,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303300,306800,316400,3.16E+05,316700,315400,314700,338400,3.21E+05,273100,269900,292500,354900,335800,322400,349600,343400,339600,2.98E+05,307100,383500,376600,371700,282300,2.82E+05,2.88E+05,295500,306900,335500,363800,365700,336100,331300,287500,272800,255300,305300,319800,344300,348300,350300,339400,340300,356900,348500,
124049,Country Walk,Florida,1647,342100,301400,290900,304200,296800,2.77E+05,256100,247700,244700,235400,241100,214900,218600,202500,216800,217900,218400,218500,213400,208600,209700,205200,209200,2.14E+05,220600,225100,211600,198200,194800,208200,198100,193800,2.05E+05,205900,203900,174100,185800,188600,199100,204100,186100,167700,1.57E+05,166800,184100,192500,199700,206100,199900,193400,192300,187500,196100,196700,207400,199800,191200,178200,190200,201900,223600,225600,222800,224100,234100,235300,233400,240600,240900,246200,248100,246400,243600,238200,244700,2.43E+05,237900,244700,254500,256400,253400,249700,248300,2.55E+05,250500,238300,242200,253600,267700,266600,267800,268500,2.71E+05,266800,281300,283200,294400,292300,297500,295400,301100,302500,301300,3.06E+05,326100,3.41E+05,3.43E+05,338100,336900,327300,312800,306900,323100,332400,332600,322500,318500,317700,337100,323300
52439,Hastings,Minnesota,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141400,123400,1.29E+05,137200,136400,169500,160200,165600,130600,140700,143500,149800,146500,157100,158700,168300,162200,146800,146500,146400,1.67E+05,152300,144600,152500,177200,186300,177100,165500,165200,162200,185400,1.91E+05,196900,170100,168700,169300,177900,192500,1.97E+05,201100,186600,195400,197900,202600,1.94E+05,196800,192800,193100,184800,1.91E+05,182600,188300,188900,200100,194800,1.86E+05,186300,190400,202300,200800,202800,191600,196900,192700,198900,206900,199700,195800,184200,194300,197400,196700,2.09E+05,223100,221300,216200,212900,243900
6030,Monument,Colorado,1649,326100,354600,356500,364800,358500,354100,370800,3.61E+05,342100,329700,308800,311400,307900,346600,342600,328400,321900,341400,344500,350700,363300,360800,351800,334600,333300,319600,316700,324800,334700,341800,340500,3.27E+05,319700,323500,336300,323600,328100,322600,341200,329200,338600,359500,373600,3.72E+05,358700,344600,318600,327400,331400,369400,352800,369600,354400,3.60E+05,355100,371100,370800,356100,342600,341300,340200,338400,3.40E+05,348400,345600,339400,346500,3.47E+05,352600,344900,3.31E+05,328400,329800,364600,355200,3.51E+05,340600,352800,355800,365700,3.65E+05,365600,351700,359100,376600,380100,3.80E+05,370700,377200,378200,376800,376700,367400,367100,372100,381400,387200,385800,391200,394600,3.90E+05,399600,403200,415500,420900,435200,429600,416700,407900,424500,429200,429200,429100,437200,441400,434400,437500,452900,467300,473800
4548,Elizabeth,Colorado,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320200,3.11E+05,323800,3.31E+05,334900,325100,331100,322600,309800,317100,326800,336400,329500,348300,337800,345500,330100,3.33E+05,334800,360300,367300,364600,341200,341300,339200,354600,356700,345700,347700,360800,378800,3.84E+05,399400,476300,494300,481300,426100,402800,417100,415900,435200,427500,411500,401500,404200,497200,482800,490100,415200,448900,4.48E+05,456700,437100,451800,424400,418600,408900,
14697,Wood Dale,Illinois,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05E+05,183500,1.69E+05,167600,186700,211500,220700,231900,213500,201900,1.95E+05,214200,225300,226800,214800,1.96E+05,189800,199900,199100,192900,204400,209800,218300,200400,220900
46674,Narragansett,Rhode Island,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362600,3.70E+05,351100,359100,3.62E+05,447200,445900,457200,402800,396600,374700,360600,355300,318300,307100,321700,369400,379400,3.79E+05,369300,364300,360900,378600,443500,463200,478300,438800,422800,399700,395300,407900,411700,397600,383500,435100,423300,437800,369900,416500,414400,439400,451600,448100,427900,390900,425800,
